PID,PPID,Project Group,Type,Description,Status,Date Begin,Date End,Mem Year,Cal Year,Season
1,,AYSOGArea5CF,RS,CY2002 Fall Regular Season Area 5C/5F,Past,20020801,20021130,2002,2002,Fall
2,,AYSOGArea5CF,RS,CY2003 Fall Regular Season Area 5C/5F,Past,20030801,20031130,2003,2003,Fall
3,1,AYSOGArea5CF,RT,CY2003 Fall Regional Tournament R0894 Monrovia,Past,20030801,20031130,2003,2003,Fall
4,,AYSOGArea5CF,RS,CY2004 Fall Regular Season Area 5C/5F,Past,20040801,20041130,2004,2004,Fall
5,4,AYSOGArea5CF,RT,CY2004 Fall Regional Tournament R0894 Monrovia,Past,20040801,20041130,2004,2004,Fall
6,,AYSOGArea5CF,RS,CY2004 Spring Regular Season Area 5C/5F,Past,20040201,20040731,2003,2004,Spring
7,,AYSOGArea5CF,RS,CY2005 Fall Regular Season Area 5C/5F,Past,20050801,20051130,2005,2005,Fall
8,7,AYSOGArea5CF,RT,CY2005 Fall Regional Tournament R0894 Monrovia,Past,20050801,20051130,2005,2005,Fall
9,,AYSOGArea5CF,RS,CY2006 Fall Regular Season Area 5C/5F,Past,20060801,20061130,2006,2006,Fall
10,9,AYSOGArea5CF,RT,CY2006 Fall Regional Tournament R0894 Monrovia,Past,20060801,20061130,2006,2006,Fall
11,,AYSOGArea5CF,RS,CY2006 Spring Regular Season Area 5C/5F,Past,20060201,20060731,2005,2006,Spring
12,,AYSOGArea5CF,RS,CY2007 Fall Regular Season Area 5C/5F,Past,20070801,20071130,2007,2007,Fall
13,12,AYSOGArea5CF,RT,CY2007 Fall Regional Tournament R0894 Monrovia,Past,20070801,20071130,2007,2007,Fall
14,12,AYSOGArea5CF,RT,CY2007 Fall Regional Tournament R0498 Madison,Past,20070801,20071130,2007,2007,Fall
15,,AYSOGArea5CF,RS,CY2007 Spring Regular Season Area 5C/5F,Past,20070201,20070731,2006,2007,Spring
16,,AYSOGArea5CF,RS,CY2008 Fall Regular Season Area 5C/5F,Past,20080801,20081130,2008,2008,Fall
17,16,AYSOGArea5CF,RT,CY2008 Fall Regional Tournament R0894 Monrovia,Past,20080801,20081130,2008,2008,Fall
18,16,AYSOGArea5CF,RT,CY2008 Fall Regional Tournament R0498 Madison,Past,20080801,20081130,2008,2008,Fall
19,,AYSOGArea5CF,RS,CY2008 Winter Regular Season R0498 Madison,Past,20080101,20080331,2007,2008,Winter
20,,AYSOGArea5CF,RS,CY2008 Spring Regular Season Area 5C/5F,Past,20080201,20080731,2007,2008,Spring
21,,AYSOGArea5CF,RS,CY2009 Fall Regular Season Area 5C/5F,Past,20090801,20091130,2009,2009,Fall
22,21,AYSOGArea5CF,RT,CY2009 Fall Regional Tournament R0894 Monrovia,Past,20090801,20091130,2009,2009,Fall
23,21,AYSOGArea5CF,RT,CY2009 Fall Regional Tournament R0498 Madison,Past,20090801,20091130,2009,2009,Fall
24,21,AYSOGArea5CF,RT,CY2009 Fall Regional Tournament R0160 Huntsville,Past,20090801,20091130,2009,2009,Fall
25,21,AYSOGArea5CF,AT,CY2009 Fall Area Tournament Area 5C,Past,20090801,20091130,2009,2009,Fall
26,,AYSOGArea5CF,RS,CY2009 Winter Regular Season R0498 Madison,Past,20090101,20090331,2008,2009,Winter
27,,AYSOGArea5CF,RS,CY2009 Spring Regular Season Area 5C/5F,Past,20090201,20090731,2008,2009,Spring
